curtain_id,title,image_path,contenxt,choices1,choices1_jump,choices2,choices2_jump,choices3,choices3_jump,
100,除夕惊魂,res://1基纳Kenner/初始关卡/1.png,"""你是一个准备考研的大四学生，被生活掏空了身体。大年三十你看河南春晚想换换口味，结果累得不到12点就睡了。午夜的鞭炮声把你炸醒，你迷蒙中看见床头坐着个身材曼妙的裸体女人，但脖子上顶着一颗硕大的**马头**。没有头套接缝，那马嘴还呼着热气。你心想：这淘宝爆款头套做得挺逼真啊？""",继续睡觉，装作无事发生,101,跳起来大喊“马年吉祥”,102,我他妈直接猝死,103,
101,世界异变,res://1基纳Kenner/初始关卡/t1.png,"""你翻身蒙头继续睡，心想这一定是梦。第二天醒来，你发现爸妈、邻居、电视里的主持人，所有人的头都变成了马头。他们嘶鸣着在这个世界行走，只有你觉得不对劲。""",去厕所洗把脸清醒一下,104,,,,,
102,妹妹的惊恐,res://1基纳Kenner/初始关卡/t2.png,"""你跳起来大喊马年吉祥。那马头人转过身，发出是你妹妹的声音，骂你有病。她没戴头套，她真的长了个马头。她惊恐地指着你的头顶大叫：“哥，你的角是怎么回事？”""",去镜子前看看我的角,104,,,,,
103,异界轮回,res://1基纳Kenner/初始关卡/t3.png,"""你当场吓得魂飞魄散，穿越到了异世界。这里有两个马头女人，都说是你的女朋友。你看着她们硕大的马脸，选择再次吓死。""",我不玩了，让我醒过来,104,,,,,
104,指鹿为马,res://1基纳Kenner/初始关卡/锦囊关卡.png,"""你冲进厕所照镜子，发现自己长着巨大的**鹿角**和鹿脸。你想起爹说过家族诅咒：一旦考研，就会陷入“指鹿为马”的悖论。全世界都成了马，而你成了唯一的鹿。好在祖宗留了三个锦囊。""",湿漉漉的袋子,105,破旧的袋子,106,闪发亮的袋子,107,
105,手动挡之殇,res://1基纳Kenner/初始关卡/桑塔纳2000.jpg,"""袋子里是一辆桑塔纳2000，万车之王。但这车是手动挡，而你现在的鹿蹄子根本踩不住离合器，这破车对你毫无卵用。""",把车钥匙扔了,108,,,,,
106,暴力美学,res://1基纳Kenner/初始关卡/FFV-013.jpeg,"""太好了！是FFV-013反器材定向破片地雷。只要把所有看见你是鹿的马头人都炸飞，就没有人知道你是鹿了。""",把它收好备用,108,,,,,
107,无效回忆,res://1基纳Kenner/初始关卡/回忆.jpg,"""袋子里是一段童年回忆，关于落叶堆里的5块钱，关于袖子里藏着的耳机。那时候大家还是人，而不是马。回忆像二手烟一样消散了，没卵用。""",叹一口气,108,,,,,
108,虚假的自由,res://1基纳Kenner/初始关卡/1.png,"""你做出了选择，但屁用没有。这就是人生，在这个全是马的世界里，身为一只鹿，你摸索着口袋，想找点慰藉。""",吃点口袋里的“零食”,109,摸摸背后的纹身,110,拆开大爷给的信,111,
109,食草本能,,"""你掏出一把不知何时在兜里的鲜嫩鹿草（那是你的本能），嚼了几口，那是属于食草动物的芬芳。然后你中毒晕了过去，被拖走了。""",......(失去意识),112,,,,,
110,纹身传送,,"""你拨开身上的鹿毛，摸到了背上那个前妻留下的神秘纹身。纹身发出了绿光（就像你的头顶一样），传送门开启，你被吸了进去。""",......(被传送),112,,,,,
111,肉麻情书,,"""你打开信封，里面是你以前写给前妻的情书，肉麻得让人想吐。你被自己的文笔恶心晕了过去。""",......(昏迷),112,,,,,
112,前妻森林,res://1基纳Kenner/4前妻森林/前妻森林.png,"""你再次睁开眼，身处一片迷雾森林，面前是你的前妻。她是这个马头世界里唯一保留着人脸的生物，但这更恐怖。她手里拿着手术刀，正缓缓向你走来。""",快跑！鹿腿跑得快！,113,发出鹿的哀鸣,113,跪下磕头,113,
113,无处可逃,res://1基纳Kenner/5前妻森林下/前妻森林下.png,"""你要知道，如果一个人能在你拉屎的时候在边上化妆，那意味着你做任何事都是徒劳的。她一步步逼近，完全无视了你的鹿角威慑。""",听听她要放什么屁,114,,,,,
114,宇宙间谍,res://1基纳Kenner/6前妻对话/前妻对话.png,"""“别动。”她说，“我是宇宙保卫队的间谍。世界变成了马，是因为有人篡改了现实。而你，这只唯一的鹿，你的**超级扁桃体**里藏着还原现实的抗体。”""",我相信爱，和前妻接吻,115,,,,,
115,扁桃体失窃,,"""她又骗了你。她是个宇宙大盗，不是为了抗体，她只是听说鹿的扁桃体泡酒能壮阳。她那经过生化改造的唾液把你麻翻了，准备噶了你的扁桃体。""",这臭娘们太坏了,116,,,,,
116,华南五虎,res://1基纳Kenner/8复仇/复仇.png,"""“嘿，醒醒，鹿兄。”你醒了，扁桃体没了，喉咙漏风。围着你的是“华南五虎”（另外四个去买烟了，只剩下一只老虎）。那是华强北老板派来救你的。""",谢谢虎哥，我想报仇,117,,,,,
117,复仇誓言,res://1基纳Kenner/10远方/远方.png,"""你失去了扁桃体，那是你作为鹿最后的尊严。在这个指鹿为马的荒诞世界里，你决定踏上复仇之路。为了扁桃体，为了变回人，或者为了把大家都变成鹿。""",骑上老虎，出发！,118,,,,,
118,骑虎难下,res://1基纳Kenner/10远方/远方.png,"""你四蹄踏在华南虎的背上，感觉比两条腿走路稳当多了。虎哥递给你一根烟，你用鹿角接住。前面是茫茫的马头人海，你深吸一口气，冲了出去。""",向北边的马群冲锋,119,向南边的草地进发,119,,,
119,广场舞危机,,"""路中间挡着一个正在跳广场舞的斑马头大妈。大妈看见你骑虎而来，冷笑一声，从肚脐眼里掏出一把RPG火箭筒。“哪里来的野鹿？”她嘶鸣道。""",低下头，用鹿角撞死她,120,让虎哥吼她,120,,,
120,高速公路,,"""解决了大妈，你们冲上了“反刍高速公路”。这里没有车，只有无数奔跑的马头人。他们在超车道上狂奔，像是在赶着去投胎。虎哥问你：“鹿兄，我们去哪？”""",去那个最大的烟囱,121,,,,,
121,收费站哲学,,"""前方是收费站。收费员是一匹老马，戴着墨镜。他拦住你们：“这里不收钱，只收梦想。把你的考研准考证交出来。”""",我没有准考证，只有鹿角,122,让虎哥咬他,123,,,
122,鹿角通关,,"""老马摸了摸你的鹿角，叹了口气：“真硬啊，像我年轻时的脾气。过去吧，可怜的鹿。”栏杆抬起，你们继续前行。""",谢了，老马,124,,,,,
123,强行闯关,,"""虎哥不想废话，一口咬碎了栏杆。警报声大作，但你们已经绝尘而去。这就是强者的世界，不解释。""",虎哥牛逼,124,,,,,
124,工厂阴影,,"""终于，你们来到了“以马内利强力胶水厂”脚下。巨大的烟囱喷吐着绿色的烟雾，那是你前妻的香水味。你的扁桃体在召唤你。""",这味道太冲了,125,,,,,
125,潜入计划,,"""工厂门口全是守卫。虎哥说：“鹿兄，正面刚是不行的。看见那个排污口了吗？我们可以钻进去。”""",钻排污口，我是专业的,126,我是鹿，要有尊严地走正门,127,,,
126,下水道奇遇,,"""下水道里流淌着失败者的泪水。你遇到了一只变异的鸭子，它告诉你：“胶水厂其实是个谎言，他们在提炼‘焦虑’。”""",无视鸭子，继续爬,128,,,,,
127,正门突袭,,"""你刚走到正门，就被几百个马头人围住了。虎哥叹了口气：“我就知道会这样。”然后开始了无双乱舞。""",趁乱溜进去,128,,,,,
128,核心车间,,"""你进入了车间。巨大的锅炉里煮着无数的参考书和试卷，蒸汽凝结成胶水。马头工人们表情呆滞，机械地重复着“上岸、上岸”的口号。""",太可怕了,129,,,,,
129,真相大白,,"""你在墙上看到了一张配方表：《强力胶水成分：99%的焦虑 + 1%的扁桃体提取物》。原来，你的扁桃体是固化焦虑的关键触媒！""",不可原谅！,130,,,,,
130,前妻的演讲,,"""透过玻璃，你看到前妻站在高台上演讲：“只要用了这种胶水，你们的脑子就会被粘住，永远感觉不到痛苦！我们将创造一个完美的马头世界！”""",放屁！,131,,,,,
131,暴露行踪,,"""你愤怒的鹿鸣惊动了警卫。前妻转过头，露出诡异的笑容：“哦，我亲爱的鹿前夫，你终于来送死了。我正缺这点药引子呢。”""",把扁桃体还给我！,132,,,,,
132,机械降神,,"""前妻按下一个按钮，她脚下的讲台变形了，变成了一个巨大的机械马头机甲！“感受科技的力量吧，你这只原始的反刍动物！”""",这不科学！,133,,,,,
